"","cat.mu","cat.sd","coyote.mu","coyote.sd","fox.mu","fox.sd","mink.mu","mink.sd"
"1",0.0208615384615445,0.142921278336486,0.404761538461565,0.490847724618074,0.0886923076922898,0.284300200477779,0.0646615384615335,0.245928626115496
"2",0.10557692307685,0.307296538841098,0.680015384615115,0.466472008932944,0.0952384615384455,0.293545158057618,0.234461538461801,0.423663434982018
"3",0.0081615384615397,0.0899721624761675,0.13670769230768,0.343539818674232,0.158146153846081,0.364879393773232,0.0732999999999847,0.260629300962889
"4",0.188800000000093,0.391351169821298,0.26817692307705,0.443011930646644,0.197676923076974,0.398248637380554,0.18323076923076,0.386857086863118
"5",0.770715384615607,0.420374285459025,0.245876923076942,0.430607580176275,0.322638461538461,0.467487503347833,0.100830769230707,0.301105666880228
"6",0.393161538461509,0.488454069922187,0.307684615384698,0.461537031481213,0.215538461538613,0.411196952535585,0.247223076923066,0.431399187225396
"7",0.376607692307833,0.484537041279706,0.360023076923038,0.480008576357172,0.200092307692456,0.400070752866737,0.285438461538488,0.451624750400417
"8",0.274107692307705,0.446065237264566,0.614207692307594,0.486783756686787,0.652992307692286,0.476020059269283,0.224823076923094,0.417467365926731
"9",0.159899999999938,0.366514697291886,0.643561538461475,0.478948691643883,0.126630769230839,0.332560172383592,0.086046153846232,0.280433268709725
"10",0.67503076923061,0.468365153755682,0.198453846153866,0.398837235880029,0.00771538461538724,0.0874980933924234,0.308969230769061,0.462070219320609
"11",0.422115384615175,0.493898636479126,0.570276923076942,0.495038421926537,0.387469230769362,0.487174149209999,0.178230769230936,0.382708359967825
"12",0.635792307692456,0.481209133765383,0.630184615384563,0.482756417501162,0.0888923076921025,0.284589332784012,0.26103076923101,0.43919834989906
"13",0.225799999999862,0.418109680270013,0.616376923076846,0.4862697098164,0.466907692307791,0.498905616163078,0.416823076923047,0.493034957522971
"14",0.189276923076935,0.39172994507734,0.390007692307643,0.487753546656466,0.224169230769219,0.417035639462217,0.180584615384624,0.384675123110189
"15",0.289900000000176,0.453717504108838,0.279592307692344,0.448800622293958,0.247584615384536,0.431610827706502,0.392276923076487,0.488259738792662
"16",0.456592307692517,0.498114124319292,0.539923076923062,0.498405516382752,0.622784615384251,0.484691391862614,0.487538461538207,0.499846608427175
"17",0.177438461538587,0.382040804937759,0.719584615384685,0.449203905672998,0.00262307692307755,0.0511489639706969,0.046015384615392,0.209519227454816
"18",0.307453846153693,0.461440805026624,0.128107692307592,0.334210967334678,0.386215384615117,0.486882824507344,0.195161538461565,0.39632653284156
"19",0.539115384615233,0.498469555749679,0.314923076923009,0.464487020428425,0.341792307692382,0.474312193233335,0.626423076923184,0.483755109293659
"20",0.290053846153749,0.453788713518731,0.121723076923096,0.326966958318022,0.566761538461736,0.495524757997273,0.293323076923044,0.455286990784502
"21",0.544661538461416,0.498003267790778,0.435784615384567,0.495861145634754,0.387153846154119,0.487101191435854,0.147592307692295,0.354696752409869
"22",0.145215384615375,0.352319218214679,0.53725384615363,0.498612137199837,0.186453846153695,0.389473973782728,0.0472923076923286,0.2122642030837
"23",0.300046153845752,0.45827947253543,0.26573076923031,0.441723248689772,0.272261538461382,0.445125507316318,0.161369230769263,0.367872590895033
"24",0.115707692307809,0.319875302777688,0.587223076923042,0.492335251044681,0.255223076922988,0.4359882109955,0.1486692307693,0.355763494738773
"25",0.732699999999832,0.44255193656335,0.777830769230474,0.415705897224266,0.356423076923107,0.478944079907221,0.384338461538427,0.486440365006386
"26",0.859846153846143,0.347147911667155,0.306530769230973,0.461054543312673,0.18626153846146,0.389319076940488,0.519130769230523,0.499635801303801
"27",0.288484615384525,0.453059401199565,0.531015384615463,0.499039038161485,0.275300000000113,0.446667040090156,0.182923076923165,0.386604933453478
"28",0.0172461538461605,0.130187765936336,0.544576923076694,0.498010849013203,0.231884615384933,0.422037333244899,0.223853846153764,0.416826868391998
"29",0.0107307692307666,0.103032526328863,0.438284615384595,0.496178501242281,0.080369230769328,0.271865014406171,0.351776923077109,0.477526620784386
"30",0.170492307692354,0.376066175826346,0.192146153846208,0.393988836724237,0.159576923076761,0.366214636979924,0.156523076923211,0.363351921541079
"31",0.1843923076924,0.387805288031878,0.522161538461448,0.499510545960969,0.251430769230786,0.433837279771936,0.281876923076939,0.44991541473969
"32",0.0152153846153894,0.122409117094367,0.644646153846467,0.478622243868216,0.388576923077315,0.487428687624512,0.157323076923198,0.364106503906456
"33",0.119000000000034,0.323789756569996,0.412207692307709,0.492234064763192,0.103715384615291,0.304892142700097,0.130130769230764,0.336448544181047
"34",0.141146153846045,0.348173591187087,0.689430769230595,0.462728463277895,0.529599999999359,0.499124990710173,0.154799999999903,0.361715311322851
"35",0.53194615384649,0.498980318745406,0.550138461538604,0.497481696576594,0.487623076923617,0.499848710800198,0.422869230768981,0.494016924575132
"36",0.408392307692278,0.491538288689187,0.27812307692296,0.448076082164106,0.181153846154131,0.385147077414252,0.159230769230726,0.365892554156124
"37",0.253546153846104,0.435042477899429,0.182053846153908,0.385890384341097,0.546707692307942,0.49781552586214,0.21232307692313,0.408953878102751
"38",0.0114769230769248,0.106514274090605,0.420700000000102,0.49367335832346,0.0809076923076887,0.272694352067517,0.0626461538461674,0.242326360436883
"39",0.251361538461639,0.433797606015491,0.604907692307719,0.488872390842003,0.36783846153852,0.482218950771161,0.0958230769230749,0.29434959032847
"40",0.170353846153711,0.375944810368485,0.495315384615813,0.49997997690085,0.462676923076477,0.498606959744169,0.200792307692153,0.400594547260663
"41",0.0175615384615373,0.131351678884535,0.7687307692309,0.421645753264784,0.468923076923356,0.499035209695002,0.0676769230769433,0.251191645010625
